"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"classe 1";-1,30752925338921;0,160525896948314;-0,992547851007665;0,121855502379112;0,989385333770581;0,0106146662294022;0,625002532875616;0,00942039600458416;0,365577071119796;0,693457844233209;0,175800084473342
"classe 2";0,616195916184726;-1,21043281777815;0,453668757859096;-0,891170386706484;0,266907841667334;0,733092158332647;0,133468573972911;0,515018427862819;0,351512998164268;0,62920118834263;0,139161934494245
"classe 3";0,92397548661974;1,29651964029738;0,580360293265029;0,814359828332249;0,416407704472637;0,583592295527383;0,241528893151473;0,475561176132596;0,282909930715935;0,755357344661242;0,161418424876157
