"";"";"";"";"2023";""
"1";"2023";"-0.0535625557995821";"-0.156346677460306";"0.801213224921128";"200"
"2";"consigo";"0.146999467596611";"0.184699655905986";"0.800479647061841";"201"
"3";"minha";"-0.0535625557995821";"-0.156346677460306";"0.800366788929643";"204"
