"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"segmento";-0,558010371646075;-0,24069943535125;-0,918217748644756;-0,396075959979593;0,883049010422395;0,116950989577624;2,76581608513582e-05;5,14622652144346e-06;8,882572392965e-05;0,313257337414991;8,71648245197456e-06
"sd";-1,77355354144726;0,786074866550161;-0,914226436236579;0,405203681234716;0,877325707722532;0,122674292277467;0,000279400618616107;5,48866313574217e-05;8,882572392965e-05;0,998884470561498;8,86276590450279e-05
"satisfação";-0,558010371646075;-0,24069943535125;-0,918217748644756;-0,396075959979593;0,883049010422395;0,116950989577624;2,76581608513582e-05;5,14622652144346e-06;8,882572392965e-05;0,313257337414991;8,71648245197456e-06
"sars";0,0497612132545189;-0,754086586301955;0,0658455193515266;-0,997829828969513;0,00608047100239349;0,993919528997611;2,19948334034616e-07;5,051044409669e-05;8,882572392965e-05;0,336646214192423;1,00666791197451e-05
"rf";1,04648581552349;2,48767123157911;0,387756501684574;0,92176184310338;0,199112581711541;0,800887418288479;9,72759426267416e-05;0,000549698717039114;8,882572392965e-05;1,23718709007835;0,000135959486219269
"retorno";1,16806612871361;-2,71964713041131;0,39463362363353;-0,918838562043338;0,205815341857412;0,794184658142584;0,000100993255244271;0,000547498113486297;7,40214366080417e-05;1,35825071819495;0,000136558078216756
"resultante";-0,0474770410875746;-1,6928728285099;-0,0280342268442379;-0,999606963823905;0,00110378755875413;0,998896212441254;2,00219348945749e-07;0,00025455839523069;8,882572392965e-05;0,753862746568039;5,04804619526654e-05
"residir";1,26530438305571;-1,78086088820337;0,579193704587809;-0,815189948763998;0,414935329763588;0,585064670236405;0,000142209556029489;0,000281707719233654;8,882572392965e-05;1,03623006902798;9,53786423838807e-05
"remoção";1,55701914608199;1,03549783842047;0,832670516992329;0,553768733436375;0,760559682746451;0,239440317253571;0,000215340968312834;9,52438953076441e-05;8,882572392965e-05;0,94184337714701;7,87945413995102e-05
"relacional";-0,363533862961888;1,63687304906464;-0,21680786656019;0,97621429460832;0,0648049882120956;0,935195011787904;7,8259530715931e-06;0,000158663669020795;5,92171492864334e-05;0,753341753391286;3,36071414343967e-05
"regulamentação";-0,0474770410875746;-1,6928728285099;-0,0280342268442379;-0,999606963823905;0,00110378755875413;0,998896212441254;2,00219348945749e-07;0,00025455839523069;8,882572392965e-05;0,753862746568039;5,04804619526654e-05
"regulamentar";-1,87079179578936;-0,152711375657783;-0,99668488894323;-0,0813586636580391;0,995279473879846;0,00472052612016637;0,000310877770757929;2,07148376756906e-06;8,882572392965e-05;0,989246034655902;8,69255389129886e-05
"regra";1,16806612871361;-2,71964713041131;0,39463362363353;-0,918838562043338;0,205815341857412;0,794184658142584;0,000100993255244271;0,000547498113486297;7,40214366080417e-05;1,35825071819495;0,000136558078216756
"redefinição";-0,558010371646075;-0,24069943535125;-0,918217748644756;-0,396075959979593;0,883049010422395;0,116950989577624;2,76581608513582e-05;5,14622652144346e-06;8,882572392965e-05;0,313257337414991;8,71648245197456e-06
"recomendação";0,0497612132545189;-0,754086586301955;0,0658455193515266;-0,997829828969513;0,00608047100239349;0,993919528997611;2,19948334034616e-07;5,051044409669e-05;8,882572392965e-05;0,336646214192423;1,00666791197451e-05
"radicular";1,75149565476617;2,91307032283635;0,515285860112209;0,857018367579378;0,336818069998675;0,663181930001347;0,000227078301997453;0,000628144334827818;7,40214366080417e-05;1,59207219608629;0,000187621682177934
"protagonismo";0,754771052497206;-0,328687495044717;0,916836188322955;-0,399263576827933;0,881067978183849;0,11893202181615;5,060217993318e-05;9,59632877942536e-06;8,882572392965e-05;0,424191451258794;1,59831575165253e-05
"projetar";1,45978089173989;0,0967115962125215;0,997812616237805;0,0661058460097619;0,996885555836311;0,00311444416370007;0,000189284087039343;8,30798795698507e-07;8,882572392965e-05;0,771287704269313;5,28410661535821e-05
"problematizações";-1,87079179578936;-0,152711375657783;-0,99668488894323;-0,0813586636580391;0,995279473879846;0,00472052612016637;0,000310877770757929;2,07148376756906e-06;8,882572392965e-05;0,989246034655902;8,69255389129886e-05
"preventivo";-0,558010371646075;-0,24069943535125;-0,918217748644756;-0,396075959979593;0,883049010422395;0,116950989577624;2,76581608513582e-05;5,14622652144346e-06;8,882572392965e-05;0,313257337414991;8,71648245197456e-06
"prestação";-1,77355354144726;0,786074866550161;-0,914226436236579;0,405203681234716;0,877325707722532;0,122674292277467;0,000279400618616107;5,48866313574217e-05;8,882572392965e-05;0,998884470561498;8,86276590450279e-05
"pressuposto";0,560294543813019;-2,2062599794606;0,246143342726544;-0,969233436707279;0,0830801540086883;0,916919845991311;2,78850573660188e-05;0,000432366592376044;8,882572392965e-05;1,02546096205271;9,34064829182873e-05
"premissa";1,45978089173989;0,0967115962125215;0,997812616237805;0,0661058460097619;0,996885555836311;0,00311444416370007;0,000189284087039343;8,30798795698507e-07;8,882572392965e-05;0,771287704269313;5,28410661535821e-05
"prefeitura";0,905483847674949;2,40259141332767;0,352663647180743;0,935750154665858;0,166352883840604;0,833647116159414;6,06902497779528e-05;0,000427284708606904;7,40214366080417e-05;1,17116187357472;0,00010152929280771
"posteriormente";0,8520093068393;0,610098747163227;0,813046558650681;0,582198671817693;0,732613264702653;0,267386735297369;6,44803569853246e-05;3,30627537120393e-05;8,882572392965e-05;0,525119728779573;2,44937581767216e-05
"poema";1,3625426373978;-0,842074645995422;0,850657234147325;-0,525720714821875;0,786246514381532;0,213753485618465;0,000164906949611561;6,29854067710353e-05;8,882572392965e-05;0,810628969207065;5,83690998150389e-05
"pernambuco";1,65425740042408;1,97428408062841;0,64224894527552;0,766496113683874;0,496565398866722;0,503434601133301;0,000243077593432034;0,000346224696306872;8,882572392965e-05;1,23841511565132;0,000136229525552823
"paul";1,16806612871361;-2,71964713041131;0,39463362363353;-0,918838562043338;0,205815341857412;0,794184658142583;0,000121191906293126;0,000656997736183556;8,882572392965e-05;1,35825071819495;0,000163869693860107
"patrimonial";-0,558010371646075;-0,24069943535125;-0,918217748644756;-0,396075959979593;0,883049010422395;0,116950989577624;2,76581608513582e-05;5,14622652144346e-06;8,882572392965e-05;0,313257337414991;8,71648245197456e-06
"patologia";0,949247561181393;1,54888498937117;0,522534428926871;0,852618185699829;0,345410835979505;0,654589164020517;8,00382778831785e-05;0,000213096883131936;8,882572392965e-05;0,852045714187544;6,44858677443029e-05
"parceiro";1,65425740042408;1,97428408062841;0,64224894527552;0,766496113683874;0,496565398866722;0,503434601133301;0,000243077593432034;0,000346224696306872;8,882572392965e-05;1,23841511565132;0,000136229525552823
"paixão";1,63480974955566;1,78652683218682;0,675087134442187;0,737738002891702;0,540529552206625;0,459470447793398;0,000197829907417114;0,000236252599790036;7,40214366080417e-05;1,17302936117206;0,000101853340007975
"ortodontia";-0,903225671718012;0,255090103660762;-0,96235660323578;0,271789933971978;0,946276274826455;0,0537237251735479;6,0387917780723e-05;4,81664601362427e-06;7,40214366080417e-05;0,489822445364219;1,77596692709321e-05
"oriundo";0,0497612132545189;-0,754086586301955;0,0658455193515266;-0,997829828969513;0,00608047100239349;0,993919528997611;2,19948334034616e-07;5,051044409669e-05;8,882572392965e-05;0,336646214192423;1,00666791197451e-05
"opressão";0,560294543813019;-2,2062599794606;0,246143342726544;-0,969233436707279;0,0830801540086883;0,916919845991311;2,78850573660188e-05;0,000432366592376044;8,882572392965e-05;1,02546096205271;9,34064829182873e-05
"ofício";0,754771052497206;-0,328687495044717;0,916836188322955;-0,399263576827933;0,881067978183849;0,11893202181615;5,060217993318e-05;9,59632877942536e-06;8,882572392965e-05;0,424191451258794;1,59831575165253e-05
"obtenção";-0,558010371646075;-0,24069943535125;-0,918217748644756;-0,396075959979593;0,883049010422395;0,116950989577624;2,76581608513582e-05;5,14622652144346e-06;8,882572392965e-05;0,313257337414991;8,71648245197456e-06
"obstáculo";-2,47856338068995;0,360675775292922;-0,989577482286406;0,144001411630924;0,985151236539944;0,014848763460062;0,000545680976380991;1,1555073270843e-05;8,882572392965e-05;1,31734631439861;0,000154148277852159
"notar";0,560294543813019;-2,2062599794606;0,246143342726544;-0,969233436707279;0,0830801540086883;0,916919845991311;2,78850573660188e-05;0,000432366592376044;8,882572392965e-05;1,02546096205271;9,34064829182873e-05
"mês";0,754771052497206;-0,328687495044717;0,916836188322955;-0,399263576827933;0,881067978183849;0,11893202181615;5,060217993318e-05;9,59632877942536e-06;8,882572392965e-05;0,424191451258794;1,59831575165253e-05
