"";"X";"V1"
"456";456;2
"457";457;3
"458";458;3
"459";459;3
"460";460;3
"461";461;2
"462";462;1
"463";463;2
"464";464;3
"465";465;2
"466";466;2
"467";467;2
"468";468;3
"469";469;3
"470";470;2
"471";471;3
"472";472;2
"473";473;3
"474";474;3
"475";475;3
"476";476;3
"477";477;3
"478";478;2
"479";479;2
"480";480;2
"481";481;2
"482";482;2
"483";483;2
"484";484;2
"485";485;2
"486";486;2
"487";487;2
"488";488;2
"489";489;2
"490";490;2
"491";491;2
"492";492;3
"493";493;2
"494";494;2
"495";495;3
"496";496;2
"497";497;2
"498";498;3
"499";499;3
"500";500;3
"501";501;3
"502";502;2
"503";503;3
"504";504;3
"505";505;3
"506";506;3
"507";507;3
"508";508;3
"509";509;3
"510";510;3
"511";511;2
"512";512;3
"513";513;2
"514";514;3
"515";515;0
"516";516;0
"517";517;0
"518";518;0
"519";519;0
"520";520;0
"521";521;0
"522";522;0
"523";523;0
"524";524;0
"525";525;0
"526";526;0
"527";527;0
"528";528;0
"529";529;0
"530";530;0
"531";531;0
"532";532;0
"533";533;0
"534";534;3
"535";535;0
"536";536;0
"537";537;2
"538";538;2
"539";539;2
"540";540;2
"541";541;2
"542";542;2
"543";543;2
"544";544;2
"545";545;2
"546";546;2
"547";547;2
"548";548;2
"549";549;2
"550";550;1
"551";551;1
"552";552;2
"553";553;1
"554";554;2
"555";555;2
"556";556;1
"557";557;1
"558";558;1
"559";559;2
"560";560;2
"561";561;1
"562";562;1
"563";563;1
"564";564;1
"565";565;1
"566";566;1
"567";567;2
"568";568;1
"569";569;1
"570";570;1
"571";571;1
"572";572;3
"573";573;0
"574";574;1
"575";575;1
"576";576;3
"577";577;1
"578";578;1
"579";579;1
"580";580;3
"581";581;2
"582";582;2
"583";583;2
"584";584;3
"585";585;3
"586";586;3
"587";587;3
"588";588;2
"589";589;2
"590";590;3
"591";591;3
"592";592;3
"593";593;2
"594";594;3
"595";595;3
"596";596;3
"597";597;3
"598";598;3
"599";599;3
"600";600;3
"601";601;3
"602";602;3
"603";603;3
"604";604;3
"605";605;2
"606";606;2
"607";607;2
"608";608;3
"609";609;2
"610";610;2
"611";611;2
"612";612;2
"613";613;3
"614";614;3
"615";615;3
"616";616;3
"617";617;3
"618";618;3
"619";619;3
"620";620;1
"621";621;3
"622";622;3
"623";623;3
"624";624;2
"625";625;3
"626";626;3
"627";627;3
"628";628;3
"629";629;3
"630";630;2
"631";631;3
"632";632;2
"633";633;3
"634";634;3
"635";635;3
"636";636;3
"637";637;3
"638";638;3
"639";639;3
"640";640;3
"641";641;3
"642";642;3
"643";643;3
"644";644;1
"645";645;1
"646";646;2
"647";647;1
"648";648;2
"649";649;1
"650";650;1
"651";651;2
"652";652;2
"653";653;2
"654";654;2
"655";655;3
"656";656;2
"657";657;2
"658";658;1
"659";659;3
"660";660;1
"661";661;2
"662";662;1
"663";663;2
"664";664;3
"665";665;1
"666";666;2
"667";667;3
"668";668;3
"669";669;2
"670";670;3
"671";671;3
"672";672;3
"673";673;3
"674";674;2
"675";675;3
"676";676;3
"677";677;3
"678";678;3
"679";679;3
"680";680;3
"681";681;2
"682";682;3
"683";683;3
"684";684;3
"685";685;3
"686";686;3
"687";687;3
"688";688;3
"689";689;3
"690";690;3
"691";691;3
"692";692;3
"693";693;3
"694";694;3
"695";695;2
"696";696;3
"697";697;3
"698";698;3
"699";699;3
"700";700;3
"701";701;3
"702";702;2
"703";703;2
"704";704;2
"705";705;2
"706";706;1
"707";707;1
"708";708;2
"709";709;3
"710";710;2
"711";711;1
"712";712;2
"713";713;2
"714";714;2
"715";715;2
"716";716;3
"717";717;3
"718";718;1
"719";719;3
"720";720;3
"721";721;3
"722";722;3
"723";723;3
"724";724;3
"725";725;3
"726";726;3
"727";727;3
"728";728;3
"729";729;3
"730";730;1
"731";731;3
"732";732;3
"733";733;3
"734";734;2
"735";735;1
"736";736;3
"737";737;1
"738";738;2
"739";739;2
"740";740;1
"741";741;2
"742";742;3
"743";743;2
"744";744;2
"745";745;3
"746";746;3
"747";747;2
"748";748;3
"749";749;2
"750";750;1
"751";751;1
"752";752;2
"753";753;3
"754";754;3
"755";755;3
"756";756;3
"757";757;2
"758";758;1
"759";759;3
"760";760;3
"761";761;3
"762";762;3
"763";763;3
"764";764;3
"765";765;3
"766";766;3
"767";767;2
"768";768;2
"769";769;2
"770";770;2
"771";771;2
"772";772;2
"773";773;3
"774";774;3
"775";775;3
"776";776;2
"777";777;2
"778";778;2
"779";779;3
"780";780;3
"781";781;3
"782";782;3
"783";783;3
"784";784;3
"785";785;3
"786";786;3
"787";787;2
"788";788;3
"789";789;2
"790";790;3
"791";791;3
"792";792;3
"793";793;3
"794";794;3
"795";795;3
"796";796;2
"797";797;2
"798";798;2
"799";799;2
"800";800;2
"801";801;3
"802";802;2
"803";803;3
"804";804;3
"805";805;0
"806";806;3
"807";807;2
"808";808;2
"809";809;2
"810";810;2
"811";811;2
"812";812;2
"813";813;2
"814";814;2
"815";815;1
"816";816;3
"817";817;3
"818";818;2
"819";819;1
"820";820;2
"821";821;2
"822";822;1
"823";823;1
"824";824;3
"825";825;1
"826";826;1
"827";827;1
"828";828;3
"829";829;1
"830";830;1
"831";831;2
"832";832;1
"833";833;1
"834";834;3
"835";835;3
"836";836;3
"837";837;2
"838";838;3
"839";839;3
"840";840;2
"841";841;3
"842";842;3
"843";843;3
"844";844;0
"845";845;3
"846";846;3
"847";847;3
"848";848;2
"849";849;3
"850";850;3
"851";851;3
"852";852;3
"853";853;3
"854";854;3
"855";855;3
"856";856;3
"857";857;3
"858";858;3
"859";859;3
"860";860;3
"861";861;3
"862";862;3
"863";863;3
"864";864;3
"865";865;3
"866";866;3
"867";867;1
"868";868;2
"869";869;2
"870";870;2
"871";871;2
"872";872;3
"873";873;3
"874";874;2
"875";875;2
"876";876;2
"877";877;1
"878";878;2
"879";879;3
"880";880;3
"881";881;1
"882";882;3
"883";883;2
"884";884;2
"885";885;2
"886";886;2
"887";887;2
"888";888;2
"889";889;2
"890";890;2
"891";891;2
"892";892;2
"893";893;1
"894";894;2
"895";895;2
"896";896;2
"897";897;2
"898";898;2
"899";899;2
"900";900;2
"901";901;2
"902";902;2
"903";903;3
"904";904;3
"905";905;2
"906";906;1
"907";907;3
"908";908;2
"909";909;3
"910";910;3
"911";911;3
"912";912;1
"913";913;1
"914";914;2
"915";915;2
"916";916;1
"917";917;1
"918";918;1
"919";919;1
"920";920;3
"921";921;2
"922";922;1
"923";923;3
"924";924;3
"925";925;2
"926";926;3
"927";927;2
"928";928;3
"929";929;3
"930";930;2
"931";931;2
"932";932;3
"933";933;3
"934";934;3
"935";935;3
"936";936;3
"937";937;3
"938";938;3
"939";939;3
"940";940;2
"941";941;3
"942";942;3
"943";943;3
"944";944;3
"945";945;3
"946";946;3
"947";947;3
"948";948;2
"949";949;2
"950";950;2
"951";951;2
"952";952;2
"953";953;2
"954";954;3
"955";955;3
"956";956;2
"957";957;3
"958";958;2
"959";959;3
"960";960;3
"961";961;2
"962";962;3
"963";963;2
"964";964;2
"965";965;3
"966";966;2
"967";967;2
"968";968;2
"969";969;3
"970";970;3
"971";971;3
"972";972;3
"973";973;2
"974";974;3
"975";975;3
"976";976;3
"977";977;1
"978";978;2
"979";979;3
"980";980;3
"981";981;3
"982";982;3
"983";983;3
"984";984;3
"985";985;3
"986";986;3
"987";987;2
"988";988;3
"989";989;3
"990";990;2
"991";991;3
"992";992;3
"993";993;3
"994";994;3
"995";995;3
"996";996;3
"997";997;2
"998";998;2
"999";999;2
"1000";1000;3
"1001";1001;1
"1002";1002;2
"1003";1003;3
"1004";1004;3
"1005";1005;2
"1006";1006;1
"1007";1007;3
"1008";1008;3
"1009";1009;2
"1010";1010;2
"1011";1011;2
"1012";1012;2
"1013";1013;2
"1014";1014;3
"1015";1015;2
"1016";1016;3
"1017";1017;1
"1018";1018;3
"1019";1019;3
"1020";1020;2
"1021";1021;3
"1022";1022;3
"1023";1023;3
"1024";1024;2
"1025";1025;2
"1026";1026;2
"1027";1027;2
"1028";1028;2
"1029";1029;2
"1030";1030;2
"1031";1031;2
"1032";1032;2
"1033";1033;2
"1034";1034;2
"1035";1035;2
"1036";1036;2
"1037";1037;2
"1038";1038;2
"1039";1039;2
"1040";1040;2
"1041";1041;1
"1042";1042;1
"1043";1043;3
"1044";1044;2
"1045";1045;1
"1046";1046;1
"1047";1047;3
"1048";1048;3
"1049";1049;3
"1050";1050;2
"1051";1051;1
"1052";1052;2
"1053";1053;2
"1054";1054;2
"1055";1055;1
"1056";1056;2
"1057";1057;2
"1058";1058;1
"1059";1059;2
"1060";1060;2
"1061";1061;1
"1062";1062;1
"1063";1063;1
"1064";1064;1
"1065";1065;2
"1066";1066;3
"1067";1067;3
"1068";1068;3
"1069";1069;2
"1070";1070;3
"1071";1071;3
"1072";1072;3
"1073";1073;2
"1074";1074;1
"1075";1075;2
"1076";1076;1
"1077";1077;1
"1078";1078;3
"1079";1079;2
"1080";1080;3
"1081";1081;1
"1082";1082;2
"1083";1083;2
"1084";1084;2
"1085";1085;2
"1086";1086;3
"1087";1087;3
"1088";1088;3
"1089";1089;3
"1090";1090;3
"1091";1091;3
"1092";1092;3
"1093";1093;3
"1094";1094;3
"1095";1095;2
"1096";1096;3
"1097";1097;3
"1098";1098;3
"1099";1099;2
"1100";1100;3
"1101";1101;2
"1102";1102;2
"1103";1103;2
"1104";1104;3
"1105";1105;3
"1106";1106;3
"1107";1107;3
"1108";1108;2
"1109";1109;3
"1110";1110;3
"1111";1111;3
"1112";1112;2
"1113";1113;3
"1114";1114;3
"1115";1115;0
"1116";1116;3
"1117";1117;2
"1118";1118;2
"1119";1119;2
"1120";1120;2
"1121";1121;2
"1122";1122;1
"1123";1123;1
"1124";1124;2
"1125";1125;1
"1126";1126;3
"1127";1127;2
"1128";1128;2
"1129";1129;1
"1130";1130;2
"1131";1131;1
"1132";1132;1
"1133";1133;2
"1134";1134;1
"1135";1135;3
"1136";1136;1
"1137";1137;2
"1138";1138;3
"1139";1139;3
"1140";1140;3
"1141";1141;2
"1142";1142;3
"1143";1143;3
"1144";1144;3
"1145";1145;2
"1146";1146;1
"1147";1147;2
