"";"X.HDLENS2014";"X.HDLENS2015";"X.HDLENS2016";"X.HDLENS2017";"X.HDLENS2018";"X.HDLENS2019";"X.HDLENS2020";"X.HDLENS2021";"X.HDLENS2022";"X.HDLENS2023";"X.HDLENS2024"
"ambiente";1;1;-1;-1;-1;-1;1;-1;1;-1;2
"potencializar";2;-1;1;1;-1;-1;-1;-1;1;-2;3
"recurso";-1;1;-2;-2;-1;-3;-1;-1;-2;4;2
"contato";1;2;-1;1;-1;2;-1;-1;-1;1;-1
"meio";-2;-1;1;1;-2;-2;1;1;1;1;1
"efetivo";2;-1;-1;-1;2;-1;1;-1;-1;-1;1
"consolidação";2;-1;-1;-1;-1;-1;-1;-1;-1;3;-1
"planeta";2;-1;-1;3;-1;-1;-1;1;3;-2;-1
"decisão";1;-1;-1;-1;-1;-1;-1;1;1;-2;1
"colaboração";2;-1;1;-1;-1;1;1;-1;-1;-2;3
"associação";2;-1;-1;-1;2;3;2;-1;-1;-2;-1
"interativo";1;-1;-1;-1;1;-1;1;-1;-2;-1;4
"palavra";-1;-1;1;2;2;9;2;2;1;-8;-2
"chave";-1;-1;1;3;2;12;4;-1;1;-10;-2
"educação";-2;-2;-2;-3;-4;-3;-3;1;2;7;1
"dimensão";1;1;2;-1;1;1;3;1;1;-3;-1
"crise";2;-1;1;-1;-1;-1;3;-1;4;-2;-1
"autor";1;-1;1;1;-2;-1;1;1;-1;1;-1
"freire";4;-1;-1;-1;-1;-1;-1;-1;11;-2;-1
"tender";-1;1;1;-1;-1;-1;-1;1;1;4;-3
"registro";1;-1;2;1;2;-1;1;2;1;-2;-2
"publicação";1;-1;1;-1;-1;1;5;5;-1;-4;1
"educacional";-1;-1;-1;-2;-1;-1;-3;-1;-1;1;9
"depois";5;3;1;1;-1;-1;1;1;1;-2;-1
"convergência";2;4;-1;-1;5;-1;5;-1;-1;-1;-1
"inserir";-1;-1;-1;-1;-1;-1;-2;-2;-2;13;-3
"quadro";2;-1;-1;-1;10;1;-1;1;1;-2;-1
"xx";1;-1;-1;2;-1;-1;-1;1;-1;-1;1
"contribuição";-1;-1;-1;-1;-1;1;1;2;1;-1;-1
"limite";5;-1;-1;-1;-1;-1;4;-1;1;-1;-1
"movimento";1;-1;-1;1;-1;-1;-1;7;1;-2;1
"formulação";2;-1;-1;4;-1;1;-1;1;-1;-1;-1
"direcionar";1;-1;-1;-1;-1;-1;-1;-1;1;1;1
"povo";3;-1;-1;1;-1;-1;-1;1;1;-1;1
"janeiro";1;-1;-1;-1;-1;-1;-1;1;2;-1;-1
"principalmente";-1;-1;1;1;-1;-1;-1;-1;1;-1;1
"exclusão";1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1
"considerar";-1;4;1;1;5;-2;1;-1;-1;-1;1
"atenção";1;-1;1;3;-1;-1;1;-1;2;-3;-1
"específico";-1;2;-1;1;-1;-1;-1;-1;1;1;-1
"incluir";1;-1;-1;-1;-1;1;-1;-1;1;-3;7
"breve";1;1;1;-1;-1;1;1;1;1;-1;-1
"caracterizar";1;-1;-1;-1;2;1;2;1;1;-1;-1
"respeito";-1;-1;-1;-1;-1;-1;1;-1;-1;3;-1
"esse";1;-1;1;1;-2;-1;1;1;-1;1;-1
"comumente";2;-1;-1;-1;-1;-1;-1;-1;-1;1;1
"expor";1;-1;-1;-1;-1;1;-1;-2;1;1;-1
"sustentar";2;-1;-1;1;-1;-1;-1;-1;-1;1;1
"literário";1;-1;1;1;1;-2;-1;7;-2;1;-2
"eletrônico";1;-1;-1;-1;-1;3;-1;-1;-1;1;-1
"entrevista";2;-1;-1;1;2;-2;1;1;-1;-1;-1
"filologia";5;-1;-1;-1;-1;10;1;-1;-1;-3;-1
"linguístico";5;-1;-1;2;-1;19;1;-1;-1;-5;-1
"horizonte";2;-1;1;-1;2;1;-1;1;-1;-2;-1
"produzir";1;-1;2;2;1;1;1;2;-1;-1;-3
"computacional";1;-1;1;-1;2;2;4;-1;3;-4;-2
"filológico";5;-1;-1;-1;-1;1;5;-1;3;-3;-1
"tradicional";1;4;-1;-1;3;1;-1;-1;-1;-1;1
"exploração";1;-1;1;4;1;-1;1;-1;-1;-1;-1
"textual";2;-1;-1;-1;-2;-1;1;-1;-1;2;-1
"usado";1;-1;1;3;-1;-1;-1;-1;4;-2;1
"corpus";1;-1;-1;3;-1;29;-1;1;-1;-6;-1
"examinar";1;-1;1;-1;2;1;-1;-1;-2;-2;3
"combinação";2;3;-1;-1;-1;-1;1;-1;2;-3;3
"procedimento";1;2;-1;-1;2;-1;1;-1;1;1;-1
"envolvido";2;-1;-1;1;2;1;-1;1;1;-1;-1
"abordar";-1;1;-1;-1;-1;-2;-1;-1;-1;1;4
"banco";2;-1;1;-1;-1;2;1;-1;1;-1;1
"coleção";2;-1;1;-1;1;-1;2;-1;2;-3;1
"permitir";-1;-1;1;-1;3;1;-1;1;1;-4;2
"tentar";2;3;-1;6;-1;-1;-1;-1;-1;-1;1
"aberto";1;-1;1;4;-1;10;3;-1;-1;-4;-1
"consideração";1;-1;-1;-1;1;-1;1;1;-1;-1;3
"investigação";-1;-1;1;-1;1;2;-1;1;1;-2;-1
"arquivo";2;-1;3;-1;-1;6;11;-3;-2;-2;-3
"material";2;-1;-1;1;1;1;1;-1;-1;-1;1
"então";1;-1;-1;2;-1;1;-1;1;-1;1;-1
"problema";1;-1;1;1;-1;1;-2;-1;1;1;1
"lado";1;-1;1;1;-1;-1;-1;2;1;-2;-1
"pergunta";6;-1;-1;-1;1;1;-1;-1;-1;1;-1
"manuscrito";5;-1;-1;-1;-1;2;4;-1;-1;-1;-1
"objeto";1;1;-1;2;1;1;1;2;-1;-2;-1
"ler";1;-1;1;-1;-1;2;2;1;1;-1;-2
"criativo";1;-1;-1;-1;1;-1;2;1;1;-4;2
"quando";1;-1;1;1;1;-1;1;-2;-1;1;1
"contar";1;-1;-1;-1;-1;-1;2;1;-1;1;-2
"lugar";1;-1;2;-1;-1;-2;-1;-1;1;1;1
"lei";1;-1;1;1;-1;-1;-1;1;1;-1;-1
"recorte";4;-1;-1;-1;1;-1;1;2;1;-2;-1
"determinar";2;-1;-1;-1;1;-1;2;-1;1;-1;1
"simultaneamente";2;-1;-1;3;-1;4;1;-1;-1;-1;-1
"contemplar";1;-1;-1;-1;-1;1;1;-1;1;-1;-1
"você";1;-1;-1;-1;-1;-1;-1;-2;-2;11;-2
"colocar";1;-1;1;1;-1;-1;1;-1;-1;1;-2
"inicial";1;1;-1;-1;-1;-1;-1;1;-1;2;-1
"obra";-1;-1;3;1;1;-1;-2;3;1;1;-2
"incorporação";2;-1;6;-1;-1;1;-1;1;-1;-1;-1
"escritor";2;-1;-1;1;-1;-1;3;1;-1;-1;-1
"cuja";1;-1;-1;5;2;1;-1;-1;1;-2;-1
"literatura";-1;-1;-1;-1;1;-1;-1;2;1;-4;8
"cinema";1;-1;-1;1;27;-2;7;2;-2;-4;-3
"diretor";2;-1;-1;1;-1;-1;1;1;1;-1;-1
"and";2;-1;1;-1;-1;1;-1;3;-1;-3;3
"centro";1;1;-1;3;1;-1;1;-1;1;1;-2
"universidade";-1;-1;1;1;1;7;-1;-1;1;-2;-1
"linha";1;-1;-1;2;-1;-1;3;-1;1;-2;1
"sob";1;-1;2;2;1;1;1;2;1;-3;-1
"leitura";-1;-1;1;-1;-1;1;-1;1;-1;2;-2
"distância";1;-1;-1;-1;-1;-1;1;-1;5;-1;1
"tal";-1;-1;1;1;1;1;-1;-1;-1;1;-1
"investimento";2;-1;-1;-1;-1;-1;1;-1;1;-2;3
"financeiro";1;-1;-1;-1;-1;-1;-1;-1;1;1;2
"necessário";-1;-1;3;1;-1;2;-1;1;2;-1;-2
"implementação";1;-1;-1;-1;-1;-1;-2;1;-1;-1;5
"fato";-1;1;-1;-1;-1;1;1;1;1;-1;-1
"estudar";-1;2;2;1;-1;-1;1;-1;3;-2;-1
"impresso";-1;11;-1;1;1;1;2;-1;-1;-1;-1
"último";-1;3;1;-1;-1;-1;2;-1;-1;-1;1
"quanto";-1;1;-1;1;-1;-1;1;-2;-2;1;2
"escopo";-1;2;-1;-1;1;3;-1;-1;-1;-1;1
"paradigma";-1;7;1;1;-1;-1;1;1;-1;-1;1
"ideia";-1;2;1;-1;1;-3;-2;1;-2;4;-2
"tópico";-1;2;-1;-1;1;-1;6;-1;-1;1;-1
"digitalização";-1;10;-1;-1;-1;-1;31;-1;-1;-4;-1
"desempenhar";-1;3;-1;1;-1;-1;-1;1;-1;-1;2
"tempo";-1;1;-1;-1;-1;1;-1;2;4;-1;-1
"produção";-2;1;-1;2;1;3;-1;1;-1;-1;-2
"conhecimento";-2;-1;2;-1;5;1;1;1;-3;2;-4
"disseminação";-1;2;-1;1;-1;-1;2;-1;-1;-1;2
"argumentar";-1;4;1;-1;-1;1;3;-1;-1;-2;2
"exigir";-1;2;1;1;-1;3;1;-1;-1;-3;1
"nossa";-1;1;3;2;-2;1;-1;-1;-1;2;-2
"noção";-1;5;1;3;2;-1;-1;3;4;-4;-1
"mudar";-1;4;-1;-1;1;1;1;1;1;-2;1
"abrir";-1;5;1;1;-1;2;2;1;-1;-1;-2
"intenso";-1;4;1;-1;-1;-1;1;1;2;-2;1
"teoria";-1;1;3;2;-1;-1;1;-1;-3;1;1
"bem";-1;-1;2;1;-2;-1;1;-1;1;1;-1
"xml";-1;2;-1;-1;-1;22;-1;1;-1;-2;-2
"analisado";-1;3;1;-1;1;1;1;-1;-1;-1;1
"preservar";-1;4;4;-1;-1;1;1;-1;-1;-1;-1
"pouco";-1;2;1;-1;-1;-1;1;2;-1;-1;1
"servir";-1;2;-1;1;-1;2;-1;-2;-1;3;-1
"fonte";-1;1;-1;2;2;1;3;-1;-1;1;-2
"entretenimento";-1;3;-1;-1;7;1;1;-1;-1;-1;1
"resultar";-1;2;-1;-1;2;-1;-1;-1;1;-1;2
"chamado";-1;2;-1;1;-1;4;1;-1;1;-2;-1
"hds";-1;69;-1;-1;-1;2;1;-1;1;-3;-1
"ensino";-4;-1;-4;-4;-5;-8;-6;-2;-1;41;-1
"estrangeiro";-1;2;-1;1;4;2;-1;1;-1;-3;-1
"abordagem";-2;5;-1;-1;-2;-3;-1;-2;1;3;2
"tanto";-1;1;-1;3;1;1;1;2;1;-3;1
"professor";-2;-1;-2;-3;-2;-5;-1;-3;-1;20;-1
"aluno";-2;-1;-3;-2;-2;-2;-4;-3;-3;30;-3
"essencial";-1;1;-1;-1;-2;-2;-1;-2;-1;4;3
"auxiliar";-1;1;-1;-1;3;1;-1;1;-1;-1;1
"influência";-1;5;1;1;-1;-1;-1;1;-1;-1;2
"quantidade";-1;22;1;2;1;2;1;2;-1;-5;-1
"preparação";-1;6;-1;-1;-1;-1;-1;-1;-1;4;-1
"três";-1;1;2;-1;1;2;4;1;-1;-5;-1
"1";-1;31;-1;-1;-1;1;1;2;-1;-2;-1
"sem";-1;5;2;1;-1;2;-1;1;-1;-1;-1
"médio";-1;1;-1;-1;-2;-2;-1;1;-1;6;-1
"90";-1;4;3;-1;-1;-1;-1;-1;-1;2;-1
"executar";-1;3;-1;-1;-1;-1;-1;-1;-1;3;-1
"utilizar";-2;1;-1;-1;2;-1;1;-2;2;-1;1
"s";-1;2;-1;-1;-1;-1;3;2;1;-3;-1
"80";-1;4;-1;-1;-1;-1;-1;-1;-1;4;-1
"influenciar";-1;2;1;-1;-1;1;-1;-1;-1;-3;8
"aumento";-1;3;1;-1;1;-1;1;-1;1;-1;-1
"significativo";-1;2;-1;-1;-1;-2;1;-1;-2;-1;9
"ciência";-2;1;-1;1;6;3;19;-1;3;-13;-3
"mapa";-1;2;15;-1;-1;2;1;-1;1;-2;-2
"experiência";-1;1;-1;-1;-1;-1;-1;1;1;1;1
"município";-1;2;-1;-1;1;-1;-1;-1;2;1;-1
"levantamento";-1;1;5;-1;-1;-1;-1;-1;-1;1;1
"água";-1;30;-1;4;-1;-1;-1;1;-1;-2;1
"tratamento";-1;3;-1;-1;2;-1;1;-1;4;-4;1
"plano";-1;2;-1;-1;-1;-1;1;3;-1;1;1
"equipamento";-1;3;1;-1;-1;-1;-1;-1;1;2;-1
"avaliar";-1;1;1;-1;-1;1;-1;-1;-1;-1;5
"sistema";-1;1;1;6;1;1;1;-1;-1;-3;1
"valor";-1;3;-1;1;-1;1;-1;1;-1;1;-2
"obter";-1;4;1;-1;-1;1;-1;1;-1;-1;1
"ficar";-1;6;-1;1;1;-1;1;1;1;-1;-1
"mercado";-1;2;1;-1;2;-1;1;-1;-1;-2;2
"forte";-1;3;2;-1;-1;-1;-1;-1;-1;2;1
"demonstrar";-1;1;-1;1;-1;1;-1;2;2;-3;1
"predeterminado";-1;7;1;-1;6;-1;-1;-1;-1;1;-1
"apontar";-1;1;2;1;1;-1;1;-1;-1;-2;3
"explorar";-1;1;-1;1;-1;-2;1;-1;-3;-1;8
"indicar";-1;1;-1;1;-1;1;-1;1;-1;-3;9
"desenvolvimento";-2;1;-1;-1;-1;1;1;1;2;-3;1
"apropriação";-1;9;-1;1;-1;2;-1;-1;1;-1;-1
"ciberespaço";-1;3;5;-1;-1;1;-1;-1;-1;-3;2
"espaço";-1;1;1;-1;1;1;-1;1;-1;-1;-1
"conjunto";-1;1;-1;1;1;-1;1;-1;1;-2;1
"atividade";-1;1;-2;-1;-1;5;-1;1;3;-1;-2
"emergente";-1;2;-1;-1;-1;1;1;-1;1;-2;1
"constituição";-1;1;-1;1;-1;2;1;-1;-1;1;-1
"configurar";-1;2;-1;1;-1;2;-1;-1;3;-1;-1
"exploratório";-1;1;-1;1;3;-1;-1;1;1;-1;-1
"mapeamento";-1;3;-1;-1;2;3;3;-1;-1;-3;-1
"museu";-1;1;-1;2;2;14;1;-2;-1;-3;-2
"região";-1;1;-1;-1;-1;-1;5;-2;4;-1;-1
"iniciativa";-1;10;1;3;-1;-1;4;-1;1;-4;-1
"documento";-1;1;1;-1;5;18;2;-2;-1;-4;-3
"acervo";-1;3;1;1;2;3;4;-1;-1;-2;-3
"existente";-1;2;-1;1;1;1;-1;1;-1;-2;2
"criação";-1;1;2;1;1;4;1;2;-1;-5;1
"difusão";-1;2;1;-1;-1;-1;2;1;-1;-1;1
"acesso";-1;1;3;1;4;5;3;-1;-1;-6;-1
"intervenção";-1;2;2;-1;1;-1;-1;-1;1;-1;1
"selecionar";-1;1;-1;1;-1;1;1;-1;-1;-1;1
"acercar";-1;2;-1;2;1;1;-1;1;2;-1;-2
"marco";-1;3;-1;1;-1;1;2;1;1;-3;1
"analítico";-1;2;-1;1;1;-1;-1;-1;-1;-1;2
"constatar";-1;1;-1;1;1;-2;-2;-2;-1;3;-1
"usuário";-1;1;-1;1;11;3;-1;1;1;-7;1
"identidade";-1;2;-1;-1;5;-1;1;1;-1;-1;1
"suporte";-1;5;1;1;3;-1;2;-1;-1;-2;1
"vantagem";-1;4;-1;1;-1;1;1;1;-1;-1;1
"analógico";-1;4;-1;-1;-1;1;-1;1;1;-1;-1
"romance";-1;-1;4;-1;-1;-1;-1;-1;1;-1;1
"santo";-1;-1;2;-1;-1;-1;-1;-1;-2;6;-1
"evitar";-1;-1;1;-1;-1;1;2;1;-1;-1;-1
"fronteira";-1;-1;1;-1;2;6;-1;1;-1;-2;-1
"relato";-1;-1;1;-1;-1;-2;-1;5;-1;1;-2
"n";-1;-1;2;4;-1;-1;-1;-1;1;-3;2
"princípio";-1;-1;3;1;1;1;-1;-1;2;-2;1
"i";-1;-1;4;-1;1;-1;-1;-1;-1;-1;1
"ii";-1;-1;2;-1;1;1;-1;-1;-1;1;1
"elucidar";-1;-1;1;-1;-1;1;-1;2;1;-1;-1
"argumento";-1;-1;3;10;-1;1;-1;-1;-1;-1;-1
"superar";-1;-1;1;1;1;-1;-1;-1;-1;1;1
"seção";-1;-1;1;-1;-1;-1;1;-1;10;-2;-1
"força";-1;-1;1;-1;-1;-1;2;-1;1;-1;1
"revelar";-1;-1;1;2;-1;-1;1;-2;-1;-1;1
"imagem";-1;-1;2;1;5;-2;1;1;1;-2;1
"representação";-1;-1;-1;-1;1;-1;-1;-3;-5;13;-2
"filosofia";-1;-1;11;1;1;-1;-1;6;1;-4;-1
"dever";-1;-1;-1;-1;1;2;-1;-1;-1;3;-2
"muito";-1;-1;-1;-1;2;1;1;-2;-1;1;-2
"devido";-1;-1;1;-1;-1;-1;1;-1;1;-1;1
"constante";-1;-1;-1;-1;-1;1;-1;-1;-2;2;1
"escrito";-1;-1;2;5;1;1;1;-1;1;-3;-1
"historiografia";-1;-1;1;3;1;-1;-1;1;1;-1;-1
"período";-1;-1;-1;-1;1;-1;-2;-1;3;1;-1
"racismo";-1;-1;1;-1;-1;1;-1;-1;-1;-1;3
"mil";-1;-1;1;-1;-1;-1;1;-1;1;1;-1
"disciplina";-1;-1;-1;1;-2;-2;-1;-2;-2;9;-2
"responsável";-1;-1;1;5;-1;-1;-1;4;1;-3;1
"gestão";-1;-1;4;-1;-1;1;2;-1;1;-6;5
"racial";-1;-1;1;-1;-1;-1;-1;-1;-1;-1;5
"conhecido";-1;-1;2;1;1;-1;-1;-1;-1;-1;3
"instituto";-1;-1;2;-1;1;1;1;2;5;-4;-2
"articular";-1;-1;6;1;2;-1;1;1;-1;-2;1
"infra-estrutura";-1;-1;15;-1;-1;-1;-1;-1;-2;-1;2
"básico";-1;-1;1;1;1;-2;-1;-1;1;1;1
"físico";-1;-1;1;1;-1;2;-2;-1;1;1;-1
"lógica";-1;-1;6;-1;1;-1;1;-1;1;-2;1
"disponível";-1;-1;2;-1;-1;-2;-1;1;-1;1;-1
"autoria";-1;-1;3;-1;-1;-1;-2;-1;-2;8;-3
"fundamental";-1;-1;1;-1;-2;-1;-1;-1;-1;1;3
"entanto";-1;-1;1;-1;-1;-1;-1;-1;2;-1;1
"viabilizar";-1;-1;2;-1;-1;-1;-1;-1;1;2;-1
"cibercultura";-1;-1;4;1;-1;-1;-1;1;-1;-1;1
"troca";-1;-1;2;-1;-1;7;-1;-1;-1;-1;-1
"vivência";-1;-1;1;-1;-1;-1;-1;-1;-1;3;-2
"universitário";-1;-1;3;2;-1;-1;1;-1;2;-2;-1
"concluir";-1;-1;1;-1;1;1;-1;3;1;-4;2
"coletivo";-1;-1;3;-1;2;7;1;1;-1;-3;-1
"colaborativo";-1;-1;1;1;-1;1;-1;-1;1;-2;3
"sociologia";-1;-1;1;1;-1;-1;-1;-1;9;-2;-1
"explicar";-1;-1;1;-1;2;1;-1;-1;-1;1;-1
"advento";-1;-1;1;-1;1;1;1;1;-1;-2;1
"modernidade";-1;-1;1;-1;-1;-1;-1;1;1;-2;3
"mecanismo";-1;-1;3;-1;1;-1;-1;-1;-1;1;-1
"escolha";-1;-1;6;-1;1;3;-1;1;-1;-1;-1
"ajudar";-1;-1;1;-1;-1;-1;-1;1;-1;1;1
"agir";-1;-1;3;-1;4;1;1;-1;-1;-2;1
"informar";-1;-1;1;-1;-1;1;-1;1;-1;-1;2
"situação";-1;-1;1;-1;-1;-1;2;-1;1;1;-2
"conhecer";-1;-1;1;-1;-1;1;-1;-1;-1;1;1
"passado";-1;-1;1;-1;-1;-1;1;-1;-1;2;-1
"reduzir";-1;-1;1;-1;-1;-1;1;-1;1;1;-1
"relacionar";-1;-1;2;2;1;1;-1;1;2;-3;1
"inserção";-1;-1;2;-1;1;-1;3;-1;-2;-1;1
"si";-1;-1;1;-1;1;5;-1;1;1;-2;-1
"direto";-1;-1;1;-1;1;1;-1;-1;-1;1;1
"viver";-1;-1;-1;-1;2;2;1;1;1;-2;-1
"inovação";-1;-1;-1;-1;1;1;-1;4;-1;-7;9
"cidade";-1;-1;4;-1;-1;-1;1;2;1;-1;-2
"nacional";-1;-1;-1;-1;-1;-2;3;-1;-1;2;-2
"administração";-1;-1;1;-1;-1;-1;2;-1;-1;-1;1
"condição";-1;-1;2;-1;2;-1;3;-1;-2;1;-1
"elaboração";-1;-1;10;1;-1;-1;-1;-1;1;-1;-1
"programa";-1;-1;1;1;-1;-1;1;2;2;-2;-1
"planejamento";-1;-1;2;1;-1;-1;-1;-1;-1;1;1
"sobretudo";-1;-1;1;-1;-1;1;-1;1;-1;-1;2
"contribuir";-1;-1;-1;-1;2;-1;-1;1;-1;2;-1
"saber";-1;-1;1;-1;1;3;-1;-1;-2;3;-3
"pai";-1;-1;1;1;1;-2;-1;1;-1;5;-2
"enfrentar";-1;-1;1;-1;-1;-1;-1;-1;-3;2;4
"dificuldade";-1;-1;-1;-1;-1;-2;-2;-1;-2;16;-3
"ordem";-1;-1;1;-1;1;1;1;1;-1;-1;2
"autoridade";-1;-1;1;-1;1;-1;1;1;-1;1;1
"gestor";-1;-1;1;1;-1;-1;-1;1;1;3;-2
"solução";-1;-1;1;1;2;2;1;-1;1;-3;-1
"serviço";-1;-1;1;-1;-1;-1;1;1;-1;-1;2
"funcional";-1;-1;1;-1;-1;5;3;-1;-1;-1;-1
"cidadão";-1;-1;1;1;-1;-1;-1;-1;-1;3;-1
"metodologicamente";-1;-1;1;-1;-1;1;1;1;-1;-1;1
"conduzir";-1;-1;1;-1;-1;-1;-1;1;-1;2;-1
"produto";-1;-1;1;1;-1;2;1;-2;5;-2;-1
"relevante";-1;-1;1;-1;-2;-2;-1;-1;-2;3;2
"governo";-1;-1;1;-1;1;-1;-1;2;-1;-1;1
"federal";-1;-1;-1;1;2;-1;-1;1;1;1;-1
"tentativa";-1;-1;1;-1;3;-1;1;3;-1;-2;1
"componente";-1;-1;1;2;-1;-1;-1;-1;-1;2;-1
"solo";-1;-1;4;-1;-1;-1;-1;1;-1;-2;2
"relativo";-1;-1;2;2;1;1;2;1;1;-3;-1
"urbano";-1;-1;7;-1;-1;-1;-1;-1;1;1;-2
"realizado";-1;-1;2;-1;-1;-1;-1;-1;-1;6;-2
"ativo";-1;-1;1;-1;-2;-2;-1;2;-1;1;2
"longo";-1;-1;1;-1;-2;-1;-1;2;-2;3;-1
"área";-1;-1;-1;2;4;7;-1;-2;2;-4;-1
"gênero";-1;-1;-1;-1;-1;-1;-1;2;3;-2;1
"apenas";-1;-1;-1;-1;2;-1;-1;1;-1;1;1
"obtido";-1;-1;3;-1;-1;1;-1;-1;2;-1;1
"2";-1;-1;-1;-1;1;2;2;2;1;-2;-1
"sugerir";-1;-1;2;-1;-1;1;-1;1;-1;-2;2
"primário";-1;-1;1;-1;1;-1;2;-1;2;-3;1
"2003";-1;-1;1;-1;-1;-1;1;-1;-1;3;-1
"surgimento";-1;-1;2;3;1;6;1;1;-1;-4;-1
"intelectual";-1;-1;1;1;-1;1;-1;-1;-1;3;-1
"interface";-1;-1;5;-1;1;2;-1;-1;2;-2;-1
"memória";-1;-1;1;-1;2;-1;3;-1;2;-1;-4
"máquina";-1;-1;1;-1;-1;-1;1;-1;1;1;1
"sujeito";-1;-1;1;-1;1;-1;-2;1;-1;5;-3
"conectar";-1;-1;1;-1;-1;2;-1;1;-1;1;-1
"conceitual";-1;-1;1;1;2;3;1;1;1;-2;-2
"comunidade";-1;-1;-1;-1;-1;2;1;1;-1;-2;4
"crítico";-1;-1;1;2;1;-1;-1;-1;1;-1;-1
"caminho";-1;-1;1;1;1;2;-1;1;1;-1;-1
"econômico";-1;-1;-1;-1;-1;1;-1;-1;-1;-1;4
"localizar";-1;-1;3;1;-1;-1;1;1;1;-1;-1
"alternativo";-1;-1;1;1;-1;3;-1;1;1;-2;1
"provocar";-1;-1;1;-1;-1;-1;1;-1;4;-1;-1
"socialização";-1;-1;1;-1;-1;-1;1;-1;-1;2;-1
"ana";-1;-1;2;-1;-1;-1;-1;1;-1;4;-2
"paula";-1;-1;2;-1;-1;-1;-1;-1;-1;5;-2
"especificidade";-1;-1;1;-1;-1;-1;1;-1;-1;3;-1
"escrita";-1;-1;1;9;-1;-1;-1;-1;1;2;-2
"tão";-1;-1;1;-1;-1;-1;-1;-1;1;1;2
"escolher";-1;-1;1;-1;-1;-1;1;-1;2;-1;1
"exercício";-1;-1;2;1;4;1;-1;-1;2;-3;1
"interpretativo";-1;-1;4;1;-1;3;2;1;-1;-2;-1
"configuração";-1;-1;1;-1;-1;-1;1;-1;-1;-1;3
"poético";-1;-1;1;3;2;1;-1;1;-1;1;-1
"vista";-1;-1;-1;1;1;-2;-2;1;-1;5;-2
"constituir";-1;-1;1;1;1;3;1;2;-1;-2;-2
"acompanhar";-1;-1;2;-1;-1;2;1;-1;1;-1;-1
"articulação";-1;-1;1;1;1;-1;-1;-1;-1;2;-1
"religioso";-1;-1;10;-1;-1;-1;-1;-1;1;-1;1
"difícil";-1;-1;1;-1;-1;-1;-1;2;-1;2;-1
"aqui";-1;-1;4;2;1;1;1;-1;1;-1;-1
"aprofundar";-1;-1;1;-1;8;1;-1;-1;-1;-1;1
"percurso";-1;-1;1;1;-1;1;-1;-1;-1;1;-1
"interpretação";-1;-1;4;1;-1;-1;-1;2;-2;1;-1
"elaborar";-1;-1;1;1;-1;-2;1;1;1;1;-1
"valorização";-1;-1;1;-1;-1;-1;1;-1;-1;2;-1
"ética";-1;-1;1;1;-1;1;-1;1;2;-1;-1
"estética";-1;-1;6;3;-1;-1;1;-1;-1;-1;1
"música";-1;-1;1;-1;-1;-2;-2;-1;-1;7;-2
"sequência";-1;-1;6;-1;-1;-1;1;2;1;-2;1
"complementar";-1;-1;1;-1;-1;1;1;-1;-1;-2;5
"abranger";-1;-1;1;-1;1;-1;1;1;1;-2;1
"evidenciar";-1;-1;1;1;1;-1;-1;1;-1;-1;2
"valorizar";-1;-1;1;-1;1;1;6;-1;-1;-2;1
"atribuir";-1;-1;1;1;1;-1;1;-1;-1;-1;1
"atingir";-1;-1;1;-1;-1;-1;1;1;3;-2;-1
"ético";-1;-1;1;1;1;2;-1;-1;-1;-2;1
"representar";-1;-1;1;-1;1;-2;-1;-2;-1;1;1
"americano";-1;-1;2;1;-1;-1;1;1;-1;-2;4
"2002";-1;-1;2;-1;-1;-1;-1;1;-1;1;-1
"2004";-1;-1;1;-1;1;-1;-1;1;1;1;-1
"utilização";-1;-1;-1;-1;-1;-1;1;1;-1;2;-1
"estágio";-1;-1;1;-1;-1;1;-1;-1;1;2;-1
"faculdade";-1;-1;1;-1;-1;-1;-1;-1;1;2;-1
"inspiração";-1;-1;1;-1;-1;-1;1;-1;-1;2;1
"voltar";-1;-1;1;1;-1;-1;-1;-1;1;2;-1
"patrimônio";-1;-1;6;-1;1;-1;1;1;-2;-1;1
"dialogar";-1;-1;3;-1;1;-1;1;1;-1;-1;-1
"especial";-1;-1;1;-1;-1;-1;1;2;-1;-1;1
"figura";-1;-1;1;5;-1;-1;-1;1;1;-3;2
"pesquisador";-1;-1;-1;-1;1;10;4;1;-1;-3;-2
"laboratório";-1;-1;1;4;-1;6;-1;3;-1;-4;-1
"cientista";-1;-1;1;1;-1;1;3;1;-1;-1;-1
"moral";-1;-1;2;1;-1;-1;-1;-1;1;1;-1
"descobrir";-1;-1;1;-1;1;-1;1;-1;-1;4;-2
"construir";-1;-1;-1;-1;-1;-1;1;1;-1;1;-1
"cercar";-1;-1;1;-1;-1;1;-1;-1;1;1;-1
"assunto";-1;-1;1;-1;1;1;1;2;-1;-1;-1
"querer";-1;-1;3;-1;-1;1;1;-1;3;-2;-1
"pedagogia";-1;-1;2;-1;-1;-1;-1;-1;3;1;-1
"ato";-1;-1;1;-1;1;3;-1;-1;-1;-3;2
"pensamento";-1;-1;1;4;1;-2;-1;1;-1;-1;-1
"seguir";-1;-1;-1;-1;-1;-1;1;-1;1;2;-2
"passo";-1;-1;1;-1;2;1;1;1;-1;-1;-1
"usar";-1;-1;1;2;1;3;1;-1;-1;-2;-1
"escola";-2;-1;-2;-1;1;-1;-2;1;-2;7;-1
"chegar";-1;-1;2;-1;-1;-1;1;1;-1;1;-1
