"";"X.HDLENS2014";"X.HDLENS2015";"X.HDLENS2016";"X.HDLENS2017";"X.HDLENS2018";"X.HDLENS2019";"X.HDLENS2020";"X.HDLENS2021";"X.HDLENS2022";"X.HDLENS2023";"X.HDLENS2024"
"uso";-1;1;-1;-2;1;-1;-2;-1;1;2;1
"política";4;-1;1;-1;1;-2;1;1;-1;-2;2
"geral";1;1;1;-1;1;1;1;-1;-1;-1;1
"especialmente";1;-1;-1;-1;1;-1;-2;-1;-1;1;2
"trazer";-1;1;-1;-2;-2;-1;-1;-1;-1;8;-3
"ao";1;-1;-1;-1;-1;-1;1;1;-2;2;-1
"brasil";1;1;-1;-1;1;8;2;-2;-1;-1;-1
"observar";-1;2;-1;-1;-1;1;-2;2;1;1;-1
"proposta";1;1;-1;1;1;1;1;2;-1;-2;-1
"anterior";3;-1;1;-1;-1;1;-1;1;-1;1;-1
"definição";9;-1;-1;-1;1;1;-1;-1;2;-2;-1
"fazer";-1;1;1;-1;-1;-1;-1;1;-1;4;-3
"isso";2;1;-1;1;1;-1;1;1;-1;-1;1
"novo";1;3;2;1;1;3;1;-1;1;-2;-4
"apresentado";1;2;-1;4;-1;1;1;-1;1;-4;2
"com";-1;-1;-1;-2;-1;-1;1;3;1;3;-4
"diverso";-1;-1;-1;-1;-1;3;2;1;1;-5;2
"reflexo";4;-1;1;1;3;2;2;-1;-1;-3;-1
"ela";1;-1;1;-1;1;-1;1;-1;1;-1;-1
"consigo";2;-1;-1;-1;-1;-1;1;-1;-1;3;-1
"inclusive";2;-1;-1;-1;-1;1;2;-1;1;-1;-1
"revisão";1;-1;-2;-1;-1;-1;-1;-2;2;-4;13
"sobre";4;-1;-2;-1;-1;-2;1;1;2;-1;-1
"sentido";-1;-1;1;-1;1;1;-1;2;-2;3;-3
"revolução";5;-1;1;1;1;-1;1;1;-1;-2;1
"ensaio";1;8;3;2;1;-1;-1;2;-1;-2;-1
"iniciar";4;-1;-1;1;-1;-1;2;1;-1;-1;-1
"pó";2;2;-1;-1;-1;-1;1;-1;2;-1;-1
"sua";-1;2;1;1;-1;1;-1;1;1;-3;1
"aplicação";-1;1;-1;1;1;2;1;-1;-1;-2;1
"contemporaneidade";1;-1;-1;-1;-1;1;3;1;-1;-1;-1
"nosso";3;-1;2;-1;-1;-1;1;-1;1;-1;1
"objectivo";1;-1;-1;2;-1;-4;-2;1;1;1;2
"procurar";1;1;1;1;-1;-1;1;-2;-1;2;-2
"alguma";2;1;1;1;1;-2;-1;1;3;-2;-1
"capaz";1;-1;-1;1;-1;1;-1;-1;-1;3;-1
"responder";1;1;-1;1;-1;-1;-1;-1;-1;2;-1
"concreto";2;2;-1;-1;1;-1;1;-1;-2;3;-2
"liberdade";5;-1;2;-1;-1;1;-1;-1;-1;-1;1
"estado";1;1;1;2;-1;-1;-1;-1;-1;1;-1
"verdadeiramente";2;-1;-1;-1;-1;-1;-1;-1;-1;3;-1
"humano";5;-1;-1;-1;-2;1;-1;4;4;-6;1
"arte";1;-1;9;1;-1;-1;1;9;-1;-4;-1
"falar";1;-1;1;1;-1;-2;-1;1;-1;4;-2
"primeiro";4;-1;1;2;1;-2;2;1;-1;-1;-3
"contextualização";2;-1;-1;-1;-1;-1;1;-1;-1;3;-1
"histórico";2;-1;6;1;-1;4;-2;-2;-1;-1;-1
"origem";1;-1;-1;1;-1;1;1;1;-1;-2;2
"moderno";1;-1;3;-1;-1;2;-1;-1;1;-2;1
"expressão";1;-1;5;1;1;1;-1;-1;-1;-1;1
"artístico";1;-1;2;2;-1;-1;-1;1;-1;-1;-1
"fim";1;-1;1;-1;-1;-1;1;1;1;1;-2
"relação";1;1;-1;2;-3;1;-1;-1;1;1;-1
"análise";-1;-1;-1;1;-1;-1;1;3;1;-3;2
"crítica";2;-1;1;1;11;1;-1;1;-2;-5;2
"potencial";1;1;-1;-1;-1;-1;2;1;-2;-1;2
"refletir";2;1;1;2;1;-1;-1;1;-1;1;-1
"importância";-1;-1;1;1;1;-4;-1;-1;-1;-1;5
"musical";2;-1;3;6;-1;-1;-1;3;1;-3;-1
"opinião";11;-1;-1;-1;-1;-1;-1;-1;-1;-2;8
"não";2;2;-1;-1;1;-1;2;-1;-1;-1;1
"processo";1;1;-2;-1;-1;-2;1;-1;1;2;-1
"construção";2;1;1;1;1;1;-1;3;-1;-2;1
"resistência";12;-1;-1;-1;1;-1;-1;-1;2;-4;5
"democrático";1;-1;-1;-1;-1;1;-1;1;-1;1;1
"regime";3;-1;-1;-1;2;-1;-1;5;-1;-1;-1
"militar";11;-1;-1;-1;-1;-1;-1;1;1;-1;-1
"brasileiro";4;-1;1;1;-1;1;2;1;-3;-1;1
"após";1;-1;-1;-1;-1;1;1;1;-1;1;-1
"civil";2;-1;-1;1;2;1;-1;1;2;-2;-1
"base";1;-1;1;-2;1;3;-1;1;1;-1;-1
"projeto";1;1;1;-1;1;1;2;4;1;-4;-2
